Unique UN Assigned ID	ACC/BCC/ASCC	Dictionary Entry Name	Definition	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Version
UN00003812	ASCC	Building Insurance Factor. Specified. Building Inspection	The building inspection specified as a building insurance factor.	Building Insurance Factor		Specified					Building Inspection			3	0	1	1.0
UN00003813	ASCC	Building Insurance Factor. Specified. Crime Underwriting	The crime related underwriting information specified as a building insurance factor.	Building Insurance Factor		Specified					Crime Underwriting			4	0	1	1.0
UN00003814	ASCC	Building Insurance Factor. Specified. Environmental Factor	An environmental factor specified as a building insurance factor.	Building Insurance Factor		Specified					Environmental Factor			5	0	unbounded	1.0
UN00003815	ASCC	Building Insurance Factor. Specified. External Building Protection	The external building protection specified as a building insurance factor.	Building Insurance Factor		Specified					External Building Protection			6	0	1	1.0
UN00003816	ASCC	Building Insurance Factor. Specified. Building Money Securities Underwriting	Building money and securities underwriting specified as a building insurance factor.	Building Insurance Factor		Specified					Building Money Securities Underwriting			7	0	1	1.0
UN00003817	ASCC	Building Insurance Factor. Specified. Insurance Object	The insurance object specified as a building insurance factor.	Building Insurance Factor		Specified					Insurance Object			8	0	1	1.0
UN00003818	ASCC	Building Insurance Factor. Specified. Occupancy	An occupancy of the building specified as a building insurance factor.	Building Insurance Factor		Specified					Occupancy			9	0	unbounded	1.0
UN00003819	ASCC	Building Insurance Factor. Specified. Occupied Floor	A floor or number of floors occupied in a building specified as a building insurance factor.	Building Insurance Factor		Specified					Occupied Floor			10	0	unbounded	1.0
UN00003820	ASCC	Building Insurance Factor. Specified. Onsite Building Protection	The onsite building protection that the building has against threats, such as fire, specified as a building insurance factor.	Building Insurance Factor		Specified					Onsite Building Protection			11	0	1	1.0
UN00003821	ASCC	Building Insurance Factor. Building. Ownership	The ownership of the building as a building insurance factor.	Building Insurance Factor		Building					Ownership			12	0	1	1.0
UN00003822	ASCC	Building Insurance Factor. Specified. Safe	A safe in the building specified as a building insurance factor.	Building Insurance Factor		Specified					Safe			13	0	unbounded	1.0
UN00003823	ASCC	Building Insurance Factor. Specified. Security	Security specified as a building insurance factor.	Building Insurance Factor		Specified					Security			14	0	unbounded	1.0
UN00003824	ASCC	Building Insurance Factor. Specified. Specialty Room	A specialty room specified as a building insurance factor.	Building Insurance Factor		Specified					Specialty Room			15	0	unbounded	1.0
UN00003825	ASCC	Building Insurance Factor. Specified. Surrounding Area	The area surrounding the building specified as a building insurance factor.	Building Insurance Factor		Specified					Surrounding Area			16	0	1	1.0
UN00003826	ASCC	Building Insurance Factor. Business. Permitted Usage	A permitted business use for the building which is a factor affecting the insurance of the building.	Building Insurance Factor		Business					Permitted Usage			17	0	unbounded	1.0
UN00004223	ACC	Building Money Securities Underwriting. Details	Money and securities held at a building and subject to coverage by insurance underwriting.	Building Money Securities Underwriting													1.0
UN00004224	BCC	Building Money Securities Underwriting. Cash During Day. Amount	The monetary value of cash held during the day, to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Cash During Day		Amount						1	0	1	1.0
UN00004225	BCC	Building Money Securities Underwriting. Securities Other Than Payroll Cheques. Amount	The monetary value of securities, other than payroll cheques, to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Securities Other Than Payroll Cheques		Amount						2	0	1	1.0
UN00004226	BCC	Building Money Securities Underwriting. Cheques. Amount	The monetary value of cheques, excluding retail cheques, to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Cheques		Amount						3	0	1	1.0
UN00004227	BCC	Building Money Securities Underwriting. Payroll Cheques. Amount	The monetary value of payroll cheques to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Payroll Cheques		Amount						4	0	1	1.0
UN00004228	BCC	Building Money Securities Underwriting. Cash Overnight. Amount	The monetary value of cash held overnight, to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Cash Overnight		Amount						5	0	1	1.0
UN00004229	BCC	Building Money Securities Underwriting. Securities In Bank. Amount	The monetary value of securities left in a bank/safe deposit, to be covered by the money and securities underwriting for this building.	Building Money Securities Underwriting		Securities In Bank		Amount						6	0	1	1.0
UN00001266	ACC	Building. Details	A permanent fixed structure, such as a house, factory, hotel, or office building.	Building													1.0
UN00001181	BCC	Building. Construction. Date	A date of construction for this building.	Building		Construction		Date				Construction Date		1	0	unbounded	1.0
UN00001183	BCC	Building. Description. Text	A textual description for this building.	Building		Description		Text						2	0	unbounded	1.0
UN00001179	BCC	Building. Identification. Identifier	A unique identifier for this building.	Building		Identification		Identifier				Building ID		3	0	unbounded	1.0
UN00001180	BCC	Building. Name. Text	A name, expressed as text, of this building.	Building		Name		Text						4	0	unbounded	1.0
UN00001182	BCC	Building. Renovation. Date	A date of renovation of this building.	Building		Renovation		Date						5	0	unbounded	1.0
UN00001184	BCC	Building. Style. Text	The style, expressed as text, of this building.	Building		Style		Text						6	0	1	1.0
UN00003839	BCC	Building. Type. Code	The code specifying the type of building, such as an apartment, a mobile home, or a detached house.	Building		Type		Code						7	0	1	1.0
UN00003840	BCC	Building. Construction Material Type. Code	The code specifying the type of construction material for this building, such as brick veneer or concrete.	Building		Construction Material Type		Code						8	0	1	1.0
UN00003841	BCC	Building. Flat Roof. Percent	The percentage of the roof area of this building which is flat.	Building		Flat Roof		Percent						9	0	1	1.0
UN00003842	BCC	Building. Storey. Quantity	The number of storeys (floors) in this building.	Building		Storey		Quantity						10	0	1	1.0
UN00003843	BCC	Building. Apartment. Quantity	The number of apartments (separate living units) in this building.	Building		Apartment		Quantity						11	0	1	1.0
UN00003844	BCC	Building. Bedroom. Quantity	The number of bedrooms in this building.	Building		Bedroom		Quantity						12	0	1	1.0
UN00003845	BCC	Building. Room. Quantity	The number of rooms in this building.	Building		Room		Quantity						13	0	1	1.0
UN00003846	BCC	Building. Fireplace. Quantity	The number of fireplaces in this building.	Building		Fireplace		Quantity						14	0	1	1.0
UN00003847	BCC	Building. Historical Status. Code	The code specifying the historical status of this building.	Building		Historical Status		Code						15	0	1	1.0
UN00003848	BCC	Building. Construction Completion. Percent	The percent of completion of the construction of this building.	Building		Construction Completion		Percent						16	0	1	1.0
UN00003849	BCC	Building. Construction Completion Degree. Code	The code specifying the degree of completion of this building.	Building		Construction Completion Degree		Code						17	0	1	1.0
UN00003850	BCC	Building. Drain Length. Measure	The measure of the length of the drains connecting this building to the public drainage system.	Building		Drain Length		Measure						18	0	1	1.0
UN00003851	BCC	Building. Estimated Construction Completion. Date Time	The estimated date, time, date time, or other date time value when the construction of this building will be completed.	Building		Estimated Construction Completion		Date Time						19	0	1	1.0
UN00003852	BCC	Building. Elevator. Quantity	The number of elevators in this building.	Building		Elevator		Quantity						20	0	1	1.0
UN00003853	BCC	Building. Roof Design. Code	The code specifying the roof design of this building, such as flat or gabled.	Building		Roof Design		Code						21	0	1	1.0
UN00003854	BCC	Building. Construction Prefabrication Type. Code	The code specifying the construction prefabrication of this building, such as heavy concrete or precast concrete.	Building		Construction Prefabrication Type		Code						22	0	1	1.0
UN00003855	BCC	Building. Floor Material. Code	The code specifying the floor material used in this building, such as wood or concrete.	Building		Floor Material		Code						23	0	1	1.0
UN00003856	BCC	Building. Modified. Indicator	The indication of whether or not this building has been modified or extended.	Building		Modified		Indicator						24	0	1	1.0
UN00003857	BCC	Building. Structural Damage. Indicator	The indication of whether or not this building has any signs of structural damage.	Building		Structural Damage		Indicator						25	0	1	1.0
UN00003858	BCC	Building. Neon Sign Area. Measure	The measure of the area of neon signs in or on this building.	Building		Neon Sign Area		Measure						26	0	1	1.0
UN00003859	BCC	Building. Maximum Vehicle. Quantity	The maximum number of vehicles that can be held in this building.	Building		Maximum Vehicle		Quantity						27	0	1	1.0
UN00003860	BCC	Building. Situation. Code	The code specifying the situation of this building to the main building, such as attached, detached or integral.	Building		Situation		Code						28	0	1	1.0
UN00003861	BCC	Building. Ground Floor Area. Measure	The measure of the ground floor area of this building.	Building		Ground Floor Area		Measure						29	0	1	1.0
UN00003862	BCC	Building. Type. Text	The type of this building, expressed as text.	Building		Type		Text						30	0	1	1.0
UN00003863	BCC	Building. Electrical Panel Type. Code	The code specifying the type of electrical panel in this building.	Building		Electrical Panel Type		Code						31	0	1	1.0
UN00003864	BCC	Building. Wiring Type. Code	The code specifying the type of wiring in this building.	Building		Wiring Type		Code						32	0	1	1.0
UN00003865	BCC	Building. Wiring Electrical Capacity. Measure	The measure of the electrical capacity of the wiring in this building.	Building		Wiring Electrical Capacity		Measure						33	0	1	1.0
UN00003866	BCC	Building. Plumbing Type. Code	The code specifying the type of plumbing in this building.	Building		Plumbing Type		Code						34	0	1	1.0
UN00003867	BCC	Building. Condition. Code	The code specifying the condition of this building.	Building		Condition		Code						35	0	1	1.0
UN00003868	BCC	Building. Roof Type. Code	The code specifying the type of roof for this building.	Building		Roof Type		Code						36	0	1	1.0
UN00003869	BCC	Building. Roof Type. Text	The type of roof for this building, expressed as text.	Building		Roof Type		Text						37	0	1	1.0
UN00003870	BCC	Building. Construction Start. Date Time	The date, time, date time, or other date time value of the start of the construction of this building.	Building		Construction Start		Date Time						38	0	1	1.0
UN00003871	BCC	Building. Construction Cost. Amount	The monetary value of the construction costs of this building.	Building		Construction Cost		Amount						39	0	1	1.0
UN00003872	BCC	Building. Construction Regulatory Grade. Code	The code specifying the construction regulatory grade for this building, such as Building Code Effectiveness Grade (BGEG).	Building		Construction Regulatory Grade		Code						40	0	1	1.0
UN00003873	BCC	Building. Above Ground Floor Area. Measure	The measure of the floor area of this building, counting all storeys above ground.	Building		Above Ground Floor Area		Measure						41	0	1	1.0
UN00003874	BCC	Building. Basement. Quantity	The number of basements in this building.	Building		Basement		Quantity						42	0	1	1.0
UN00003875	BCC	Building. Earthquake Ground Condition. Code	The code specifying the condition of the ground, with respect to earthquakes, where this building is situated.	Building		Earthquake Ground Condition		Code						43	0	1	1.0
UN00003876	BCC	Building. Exterior Wall Masonry Veneer. Percent	The percent of the exterior wall made of masonry veneer for this building.	Building		Exterior Wall Masonry Veneer		Percent						44	0	1	1.0
UN00003877	BCC	Building. Storm Protection Type. Code	The code specifying the type of storm protection for this building.	Building		Storm Protection Type		Code						45	0	1	1.0
UN00003878	BCC	Building. Hurricane Resistive Glass. Indicator	The indication of whether or not hurricane resistive glass is used in this building.	Building		Hurricane Resistive Glass		Indicator						46	0	1	1.0
UN00003879	BCC	Building. Land Area. Measure	The measure of the land area on which the building is located.	Building		Land Area		Measure						47	0	1	1.0
UN00003880	BCC	Building. Hillside Incline. Percent	The percent of the hillside incline for this building.	Building		Hillside Incline		Percent						48	0	1	1.0
UN00003881	BCC	Building. Subtype. Code	The code specifying the subtype of this building, such as for a garage type building, built in, basement or carport.	Building		Subtype		Code						49	0	1	1.0
UN00003882	BCC	Building. Basement. Indicator	The indication of whether or not this building has a basement.	Building		Basement		Indicator						50	0	1	1.0
UN00003883	BCC	Building. Type. Quantity	The number of buildings of the same type as this building.	Building		Type		Quantity						51	0	1	1.0
UN00003884	BCC	Building. Wind Resistance. Code	The code specifying the wind resistance of this building.	Building		Wind Resistance		Code						52	0	1	1.0
UN00003885	BCC	Building. Swimming Pool. Quantity	The number of swimming pools belonging to this building.	Building		Swimming Pool		Quantity						53	0	1	1.0
UN00003886	BCC	Building. Real Estate Type. Code	The code specifying the type of real estate for this building.	Building		Real Estate Type		Code						54	0	1	1.0
UN00001185	ASCC	Building. Actual. Picture	An actual picture of this building.	Building		Actual					Picture			1	0	unbounded	1.0
UN00001186	ASCC	Building. Distinctive. Feature	A feature that is a distinctive characteristic of this building.	Building		Distinctive					Feature			2	0	unbounded	1.0
UN00003887	ASCC	Building. Installed. Air Conditioning	The air conditioning installed in this building.	Building		Installed					Air Conditioning			3	0	1	1.0
UN00003888	ASCC	Building. Within. Bathroom	A bathroom within this building.	Building		Within					Bathroom			4	0	unbounded	1.0
UN00003889	ASCC	Building. Related. Building Accessory	A building accessory related to this building.	Building		Related					Building Accessory			5	0	unbounded	1.0
UN00003890	ASCC	Building. Applied. Building Improvement	A building improvement applied to this building.	Building		Applied					Building Improvement			6	0	unbounded	1.0
UN00003891	ASCC	Building. Used. Inbuilt Component	An inbuilt component used in this building.	Building		Used					Inbuilt Component			7	0	unbounded	1.0
UN00003892	ASCC	Building. Used. Construction Material	Material used in the construction of this building.	Building		Used					Construction Material			8	0	unbounded	1.0
UN00003893	ASCC	Building. Specified. Dimension	The specified dimensions of this building.	Building		Specified					Dimension			9	0	1	1.0
UN00003894	ASCC	Building. Within. Elevator	An elevator within this building.	Building		Within					Elevator			10	0	unbounded	1.0
UN00003895	ASCC	Building. Within. Fireplace	A fireplace within this building.	Building		Within					Fireplace			11	0	unbounded	1.0
UN00003896	ASCC	Building. Installed. Heating System	A heating system installed in this building.	Building		Installed					Heating System			12	0	unbounded	1.0
UN00003897	ASCC	Building. Applied. Interior Finish	The interior finish applied in this building.	Building		Applied					Interior Finish			13	0	1	1.0
UN00003898	ASCC	Building. Within. Kitchen	A kitchen within this building.	Building		Within					Kitchen			14	0	unbounded	1.0
UN00003899	ASCC	Building. Specified. Mobile Home	The mobile home specified as this building (dwelling).	Building		Specified					Mobile Home			15	0	1	1.0
UN00003900	ASCC	Building. Applied. Modification	A modification that has been applied to this building.	Building		Applied					Modification			16	0	unbounded	1.0
UN00003901	ASCC	Building. Attached. Porch	A porch attached to this building.	Building		Attached					Porch			17	0	unbounded	1.0
UN00003902	ASCC	Building. Supporting. Substructure	A supporting substructure for this building.	Building		Supporting					Substructure			18	0	unbounded	1.0
UN00003903	ASCC	Building. Within. Basement	A basement within this building.	Building		Within					Basement			19	0	unbounded	1.0
UN00003904	ASCC	Building. Related. Swimming Pool	A swimming pool related to the building.	Building		Related					Swimming Pool			20	0	unbounded	1.0
UN00003905	ASCC	Building. Additional. Building	An additional building located on the same premises, which may or may not be attached to this building.	Building		Additional					Building			21	0	unbounded	1.0
UN00000257	ACC	Business Profile. Details	Distinctive features or characteristics of a business such as number of employees, number of operating units, business type.	Business Profile								Organization Profile					1.1
UN00000261	BCC	Business Profile. Operating Years. Quantity	A number of years that the business in this profile has been in operation.	Business Profile		Operating Years		Quantity						1	0	unbounded	1.0
UN00000262	BCC	Business Profile. Classification. Code	A code specifying a classification of the business in this profile.	Business Profile		Classification		Code						2	0	unbounded	1.0
UN00000801	BCC	Business Profile. Employee. Quantity	A number of employees for this business profile.	Business Profile		Employee		Quantity						3	0	unbounded	1.0
UN00000938	BCC	Business Profile. Country Name. Text	A name, expressed as text, of the country for this business profile.	Business Profile		Country Name		Text						4	0	unbounded	1.0
UN00000939	BCC	Business Profile. Manufacturer. Indicator	The indication of whether or not this business profile is for a manufacturer.	Business Profile		Manufacturer		Indicator						5	0	1	1.0
UN00000263	ASCC	Business Profile. Application. Work Capability	Work capabilities of an organization that can be applied to its business profile.	Business Profile		Application					Work Capability			1	0	unbounded	1.0
UN00000501	ASCC	Business Profile. Nationality. Country	Country specifying nationality for this business profile.	Business Profile		Nationality					Country			2	0	unbounded	1.0
UN00000941	ASCC	Business Profile. Experience. Completed Work	Completed work experience of the business in this profile.	Business Profile		Experience					Completed Work			3	0	unbounded	1.0
UN00000940	ASCC	Business Profile. Owned. Factory	A factory owned by the business in this profile.	Business Profile		Owned					Factory			4	0	unbounded	1.0
UN00000911	ACC	Business Type. Details	A class or group that specifies the area of business.	Business Type													1.0
UN00000912	BCC	Business Type. Classification. Code	A code specifying a classification of the business such as survey or consulting.	Business Type		Classification		Code				Work Contents		1	0	unbounded	1.0
UN00000914	BCC	Business Type. Preference Order. Numeric	An order of preference when multiple business types are identified.	Business Type		Preference Order		Numeric				Priority Ranking		2	0	unbounded	1.0
UN00000913	BCC	Business Type. Registration. Indicator	The indication of whether or not this business type is registered.	Business Type		Registration		Indicator						3	0	1	1.0
UN00000915	ASCC	Business Type. Available. Business Type	An available business type for this business type.	Business Type		Available					Business Type			1	0	unbounded	1.0
UN00000916	ASCC	Business Type. Available. Location	An available location for this business type.	Business Type		Available					Location			2	0	unbounded	1.0
UN00000177	ACC	Calculation. Details	The act, the process or result of a procedure of determining something by mathematical or logical methods.	Calculation													1.0
UN00000181	BCC	Calculation. Formula. Text	The formula, expressed as text, for the calculation.	Calculation		Formula		Text						1	0	1	1.0
UN00000499	BCC	Calculation. Applicable. Rate	A rate applicable to this calculation such as the ratio between two amounts or quantities.	Calculation		Applicable		Rate						2	0	unbounded	1.0
UN00000803	BCC	Calculation. Description. Text	A textual description of this calculation.	Calculation		Description		Text						3	0	unbounded	1.0
UN00000746	ASCC	Calculation. Applicable. Period	Period information applicable to this calculation.	Calculation		Applicable					Period			1	0	unbounded	1.0
UN00001339	ACC	Calendar. Details	A system that defines beginning, ending, length, and sub-divisions of a period of time.	Calendar													1.0
UN00001340	BCC	Calendar. Identification. Identifier	A unique identifier for this calendar.	Calendar		Identification		Identifier						1	0	unbounded	1.0
UN00001341	BCC	Calendar. Name. Text	A name, expressed as text, for this calendar.	Calendar		Name		Text						2	0	unbounded	1.0
UN00001342	BCC	Calendar. Description. Text	A textual description of this calendar.	Calendar		Description		Text						3	0	unbounded	1.0
UN00001343	BCC	Calendar. Start. Date	A date on which this calendar starts.	Calendar		Start		Date						4	0	unbounded	1.0
UN00001344	BCC	Calendar. End. Date	A date on which this calendar ends.	Calendar		End		Date						5	0	unbounded	1.0
UN00001345	BCC	Calendar. Holiday. Date	A date which is a holiday for this calendar.	Calendar		Holiday		Date						6	0	unbounded	1.0
UN00001346	ASCC	Calendar. Specified. Period	A specified period within this calendar.	Calendar		Specified					Period			1	0	unbounded	1.0
UN00001347	ASCC	Calendar. Associated. Work Shift	A work shift associated with this calendar.	Calendar		Associated					Work Shift			2	0	unbounded	1.0
UN00001712	ACC	Cargo Insurance. Details	The insurance of goods during their transportation.	Cargo Insurance													1.0
UN00001713	BCC	Cargo Insurance. Coverage. Code	The code specifying the coverage of this cargo insurance.	Cargo Insurance		Coverage		Code						1	0	1	1.0
UN00001714	BCC	Cargo Insurance. Coverage Description. Text	The textual description of the coverage of this cargo insurance.	Cargo Insurance		Coverage Description		Text						2	0	1	1.0
UN00001715	BCC	Cargo Insurance. Contract General Conditions. Text	The general conditions, expressed as text, of a contract for this cargo insurance.	Cargo Insurance		Contract General Conditions		Text						3	0	1	1.0
UN00001716	ASCC	Cargo Insurance. Coverage. Party	A coverage party for this cargo insurance.	Cargo Insurance		Coverage					Party			1	0	unbounded	1.0
UN00001707	ACC	Cargo. Details	Goods being transported.	Cargo													1.0
UN00001708	BCC	Cargo. Identification. Text	An identification, expressed as text, of this cargo that is sufficient to identify it for customs, statistical or transport purposes.	Cargo		Identification		Text						1	0	unbounded	1.0
UN00001709	BCC	Cargo. Type. Code	A code, such as UNECE Recommendation 21 single digit codes, specifying a type of cargo.	Cargo		Type		Code						2	0	unbounded	1.0
UN00001710	BCC	Cargo. Operational Category. Code	A code specifying an operational category for this cargo, such as obnoxious or military.	Cargo		Operational Category		Code						3	0	unbounded	1.0
UN00001711	BCC	Cargo. Statistical Classification. Code	A code specifying a statistical classification for this cargo.	Cargo		Statistical Classification		Code						4	0	unbounded	1.0
UN00003906	ACC	Certificate. Details	A legal proof of ownership or worthiness of an item.	Certificate													1.0
UN00003907	BCC	Certificate. Identification. Identifier	The unique identifier for a certificate.	Certificate		Identification		Identifier						1	0	1	1.0
UN00003908	BCC	Certificate. Issue. Date Time	The date, time, date time, or other date time value when this certificate was issued.	Certificate		Issue		Date Time						2	0	1	1.0
UN00003909	BCC	Certificate. Expiry. Date Time	The date, time, date time, or other date time value when this certificate expires.	Certificate		Expiry		Date Time						3	0	1	1.0
UN00003417	ACC	Change. Details	An alternation or modification.	Change								Work In Process					1.0
UN00003418	BCC	Change. Category. Text	A category for this change, expressed as text.	Change		Category		Text						1	0	unbounded	1.0
UN00003419	BCC	Change. Description. Text	A textual description of this change.	Change		Description		Text						2	0	unbounded	1.0
UN00003420	BCC	Change. Impact. Text	An impact of this change, expressed as text.	Change		Impact		Text						3	0	unbounded	1.0
UN00003421	BCC	Change. Reason. Text	A reason for this change, expressed as text.	Change		Reason		Text						4	0	unbounded	1.0
UN00003422	BCC	Change. Subject. Text	A subject of this change, expressed as text.	Change		Subject		Text						5	0	unbounded	1.0
UN00002788	ACC	Characteristic. Details	A prominent attribute or aspect.	Characteristic													1.0
UN00002789	BCC	Characteristic. Identification. Identifier	A unique identifier for this characteristic.	Characteristic		Identification		Identifier						1	0	unbounded	1.0
UN00002790	BCC	Characteristic. Type. Code	A code specifying a type of characteristic.	Characteristic		Type		Code						2	0	unbounded	1.0
UN00002791	BCC	Characteristic. Description. Text	A textual description of this characteristic.	Characteristic		Description		Text						3	0	unbounded	1.0
UN00002792	BCC	Characteristic. Value. Measure	A measure of a value for this characteristic.	Characteristic		Value		Measure						4	0	unbounded	1.0
UN00002793	BCC	Characteristic. Measurement Method. Code	A code specifying a measurement method for this characteristic.	Characteristic		Measurement Method		Code						5	0	unbounded	1.0
UN00003248	BCC	Characteristic. Value. Text	A value for this characteristic, expressed as text.	Characteristic		Value		Text						6	0	unbounded	1.0
UN00003553	ACC	Checkpoint. Details	The point in an operation where the inspection is performed.	Checkpoint								SemiconductorTestDataNotification					1.0
UN00003554	BCC	Checkpoint. Description. Text	A textual description for this checkpoint.	Checkpoint		Description		Text						1	0	unbounded	1.0
UN00003555	BCC	Checkpoint. Input. Quantity	A number of inputs at this checkpoint.	Checkpoint		Input		Quantity						2	0	unbounded	1.0
UN00003556	BCC	Checkpoint. Output. Quantity	A number of outputs at this checkpoint.	Checkpoint		Output		Quantity						3	0	unbounded	1.0
UN00003557	BCC	Checkpoint. Rejects. Quantity	A number of rejects at this checkpoint.	Checkpoint		Rejects		Quantity						4	0	unbounded	1.0
UN00001511	ACC	Chemical. Details	Any substance having a defined molecular composition.	Chemical													1.0
UN00001512	BCC	Chemical. Identification. Identifier	A unique identifier for this chemical.	Chemical		Identification		Identifier						1	0	unbounded	1.0
UN00001513	BCC	Chemical. Name. Text	A name, expressed as text, for this chemical.	Chemical		Name		Text						2	0	unbounded	1.0
UN00001514	BCC	Chemical. Weight. Measure	A measure of the weight of this chemical.	Chemical		Weight		Measure						3	0	unbounded	1.0
UN00001515	BCC	Chemical. Type. Code	A code specifying the type of chemical.	Chemical		Type		Code						4	0	unbounded	1.0
UN00001516	BCC	Chemical. Description. Text	A textual description of this chemical.	Chemical		Description		Text						5	0	unbounded	1.0
UN00002844	BCC	Chemical. Presence. Percent	A percent of the presence of this chemical.	Chemical		Presence		Percent						6	0	unbounded	1.0
UN00001517	ASCC	Chemical. Presence. Measurement	A measurement of the presence of this chemical.	Chemical		Presence					Measurement			1	0	unbounded	1.0
UN00001518	ASCC	Chemical. Applicable. Regulation	A regulation applicable to this chemical.	Chemical		Applicable					Regulation			2	0	unbounded	1.0
UN00001519	ASCC	Chemical. Applicable. Instructions	An instruction that is applicable for this chemical.	Chemical		Applicable					Instructions			3	0	unbounded	1.0
UN00001520	ASCC	Chemical. Applicable. Hazardous Material	Hazardous material information that is applicable for this chemical.	Chemical		Applicable					Hazardous Material			4	0	unbounded	1.0
UN00003448	ASCC	Chemical. Applicable. Condition	A condition applicable for this chemical.	Chemical		Applicable					Condition			5	0	unbounded	1.0
UN00003449	ASCC	Chemical. Applicable. Radioactive Isotope	A radioactive isotope applicable for this chemical.	Chemical		Applicable					Radioactive Isotope			6	0	unbounded	1.0
UN00003450	ASCC	Chemical. Applicable. Material	An applicable material for this chemical.	Chemical		Applicable					Material			7	0	unbounded	1.0
UN00003451	ASCC	Chemical. Applicable. Threshold	An applicable threshold for this chemical.	Chemical		Applicable					Threshold			8	0	unbounded	1.0
UN00002680	ACC	Cheque. Details	A written order to a bank to pay the stated sum from the drawer's account.	Cheque													1.0
UN00002681	BCC	Cheque. Type. Code	The code specifying the type of cheque.	Cheque		Type		Code						1	0	1	1.0
UN00002682	BCC	Cheque. Number. Text	The number, expressed as text, of this cheque.	Cheque		Number		Text						2	0	1	1.0
UN00002683	BCC	Cheque. Delivery Method. Code	The code specifying the delivery method for this cheque.	Cheque		Delivery Method		Code						3	0	1	1.0
UN00002684	BCC	Cheque. Delivery Method. Text	The delivery method, expressed as text, for this cheque.	Cheque		Delivery Method		Text						4	0	1	1.0
UN00002685	BCC	Cheque. Instruction Priority. Code	The code specifying the instruction priority for this cheque, such as the urgency or order of importance for the processing of the cheque.	Cheque		Instruction Priority		Code						5	0	1	1.0
UN00002686	BCC	Cheque. Maturity. Date Time	The date, time, date time, or other date time value when this cheque reaches maturity.	Cheque		Maturity		Date Time						6	0	1	1.0
UN00002687	BCC	Cheque. Layout Description. Text	The textual description of the layout for this cheque, such as a description of the company logo and digitized signature printed on the cheque.	Cheque		Layout Description		Text				Forms Code		7	0	1	1.0
UN00002688	BCC	Cheque. Memo Field. Text	The memo field, expressed as text, on this cheque.	Cheque		Memo Field		Text						8	0	1	1.0
UN00002689	BCC	Cheque. Clearing Region. Text	The clearing region, expressed as text, for this cheque.	Cheque		Clearing Region		Text						9	0	1	1.0
UN00002690	BCC	Cheque. Print Location. Text	The print location, expressed as text, for this cheque.	Cheque		Print Location		Text						10	0	1	1.0
UN00002691	ASCC	Cheque. Issuance Ordering. Party	The party that orders the issuance of this cheque.	Cheque		Issuance Ordering					Party			1	0	1	1.0
UN00002692	ASCC	Cheque. Deliver To. Party	The party to whom this cheque should be delivered.	Cheque		Deliver To					Party			2	0	1	1.0
UN00003558	ACC	Circuit Pin. Details	The metal extension from an integrated circuit that connects components.	Circuit Pin								SemiconductorTestDataNotification					1.0
UN00003559	BCC	Circuit Pin. Channel. Quantity	A number of channels for this circuit pin.	Circuit Pin		Channel		Quantity						1	0	unbounded	1.0
UN00003560	BCC	Circuit Pin. Chip Pin Name. Text	A name, expressed as text, of the chip pin for the circuit pin.	Circuit Pin		Chip Pin Name		Text						2	0	unbounded	1.0
UN00003561	BCC	Circuit Pin. Module Pin Name. Text	A name, expressed as text, of the module pin for the circuit pin.	Circuit Pin		Module Pin Name		Text						3	0	unbounded	1.0
UN00003562	BCC	Circuit Pin. Position. Identifier	An identifier for the position of the circuit pin.	Circuit Pin		Position		Identifier						4	0	unbounded	1.0
UN00003563	BCC	Circuit Pin. Signal. Text	A signal of this circuit pin, expressed as text.	Circuit Pin		Signal		Text						5	0	unbounded	1.0
UN00003564	BCC	Circuit Pin. Type. Text	A type, expressed as text, of this circuit pin.	Circuit Pin		Type		Text						6	0	unbounded	1.0
UN00002244	ACC	Claim Free Record. Details	Information based upon claims history that is or may be used in a premium pricing mechanism, such as the number of years without claims.	Claim Free Record								No Claims Bonus (NCB), No Claims Discount (NCD).					1.0
UN00002245	BCC	Claim Free Record. Premium Discount. Percent	The percent of premium discount for this claim free record.	Claim Free Record		Premium Discount		Percent						1	0	1	1.0
UN00002246	BCC	Claim Free Record. Level. Code	The code specifying the level of this claim free record.	Claim Free Record		Level		Code						2	0	1	1.0
UN00002247	BCC	Claim Free Record. Base Year. Date	The base year date for this claim free record.	Claim Free Record		Base Year		Date						3	0	1	1.0
UN00002248	BCC	Claim Free Record. Scheme. Code	The code specifying the scheme for this claim free record.	Claim Free Record		Scheme		Code						4	0	1	1.0
UN00002249	BCC	Claim Free Record. Proven. Indicator	The indication of whether or not this claim free record is proven.	Claim Free Record		Proven		Indicator						5	0	1	1.0
UN00002250	BCC	Claim Free Record. Protected. Indicator	The indication of whether or not this claim free record is protected.	Claim Free Record		Protected		Indicator						6	0	1	1.0
UN00002251	BCC	Claim Free Record. Continuous Years Protected. Numeric	The number of years of continuous protection for this claim free record.	Claim Free Record		Continuous Years Protected		Numeric						7	0	1	1.0
